AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
AHN, KAHN, Athens Ben Epps Airport, Athens--GA--US, null, America/New_York
AHO, LIEA, Alghero-Fertilia Airport, Alghero--88--IT, null, Europe/Rome
AHS, MHAH, Ahuas Airport, Ahuas--GD--HN, null, America/Tegucigalpa
AHU, GMTA, Cherif Al Idrissi Airport, Al Hoceima--HOC--MA, null, Africa/Casablanca
AHY, AHY, Ambatolhy Airport, Ambatolahy--U--MG, null, Indian/Antananarivo
AHZ, LFHU, Altiport L'Alpe d'Huez - Henri GIRAUD, L'Alpe d'Huez--ARA--FR, null, Europe/Paris
AIA, KAIA, Alliance Municipal Airport, Alliance--NE--US, null, America/Denver
AIC, AIP, Ailinglaplap Airok Airport, Bigatyelang Island--ALL--MH, null, Pacific/Kwajalein
AID, KAID, Anderson Municipal Darlington Field, Anderson--IN--US, null, America/Indiana/Indianapolis
AIE, AIE, Aiome Airport, Aiome--MPM--PG, null, Pacific/Port_Moresby
AIF, SNAX, Marcelo Pires Halzhausen Airport, Assis--SP--BR, null, America/Sao_Paulo
AIG, FEFY, Yalinga Airport, Yalinga--HK--CF, null, Africa/Bangui
AIH, AIH, Aiambak Airport, Aiambak--WPD--PG, null, Pacific/Port_Moresby
AII, HDAS, Ali-Sabieh Airport, Ali-Sabieh--AS--DJ, null, Africa/Djibouti
AIK, KAIK, Aiken Regional Airport, Aiken--SC--US, null, America/New_York
AIL, PA-0003, Alligandi Airport, Alligandi--KY--PA, null, America/Panama
AIM, MH-AIM, Ailuk Airport, Ailuk Island--ALK--MH, null, Pacific/Kwajalein
AIN, PAWI, Wainwright Airport, Wainwright--AK--US, null, America/Anchorage
AIO, KAIO, Atlantic Municipal Airport, Atlantic--IA--US, null, America/Chicago
AIP, VIAX, Adampur Airport, Adampur--PB--IN, null, Asia/Kolkata
AIR, SWRP, Aripuanã Airport, Aripuanã--MT--BR, null, America/Cuiaba
AIS, NGTR, Arorae Island Airport, Arorae Island--G--KI, null, Pacific/Tarawa
AIT, NCAI, Aitutaki Airport, Aitutaki--U--CK, null, Pacific/Rarotonga
AIU, NCAT, Enua Airport, Atiu Island--U--CK, null, Pacific/Rarotonga
AIV, KAIV, George Downer Airport, Aliceville--AL--US, null, America/Chicago
AIW, FYAA, Ai-Ais Airport, Ai-Ais--KU--NA, null, Africa/Windhoek
AIZ, KAIZ, Lee C Fine Memorial Airport, Kaiser Lake Ozark--MO--US, null, America/Chicago
AJA, LFKJ, Ajaccio-Napoléon Bonaparte Airport, Ajaccio/Napoléon Bonaparte--COR--FR, null, Europe/Paris
AJF, OESK, Al-Jawf Domestic Airport, Al-Jawf--12--SA, null, Asia/Riyadh
AJI, LTCO, Ağrı Airport, --04--TR, null, Europe/Istanbul
AJJ, GQNJ, Akjoujt Airport, Akjoujt--12--MR, null, Africa/Nouakchott
AJK, OIHR, Arak Airport, Araak--22--IR, null, Asia/Tehran
AJL, VELP, Lengpui Airport, Aizawl--MZ--IN, null, Asia/Kolkata
AJN, FMCV, Ouani Airport, Ouani--A--KM, null, Indian/Comoro
AJR, ESNX, Arvidsjaur Airport, Arvidsjaur--BD--SE, null, Europe/Stockholm
AJS, MX-AJS, Abreojos Airport, Abreojos--BCS--MX, null, America/Hermosillo
AJU, SBAR, Santa Maria Airport, Aracaju--SE--BR, null, America/Noronha
AJY, DRZA, Mano Dayak International Airport, Agadez--1--NE, null, Africa/Niamey
AKA, ZLAK, Ankang Wulipu Airport, Ankang--61--CN, null, Asia/Shanghai
AKB, PAAK, Atka Airport, Atka--AK--US, null, America/Adak
AKC, KAKR, Akron Fulton International Airport, Akron--OH--US, null, America/New_York
AKD, VAAK, Akola Airport, Akola--MM--IN, null, Asia/Kolkata
AKE, GA-AKE, Akieni Airport, Akieni--2--GA, null, Africa/Libreville
AKF, HLKF, Kufra Airport, Kufra--KF--LY, null, Africa/Tripoli
AKG, PG-AKG, Anguganak Airport, Anguganak--SAN--PG, null, Pacific/Port_Moresby
AKH, OEPS, Prince Sultan Air Base, --01--SA, null, Asia/Riyadh
AKI, PFAK, Akiak Airport, Akiak--AK--US, null, America/Anchorage
AKJ, RJEC, Asahikawa Airport, Asahikawa / Hokkaidō--01--JP, null, Asia/Tokyo
AKK, PAKH, Akhiok Airport, Akhiok--AK--US, null, America/Anchorage
AKL, NZAA, Auckland International Airport, Auckland--AUK--NZ, null, Pacific/Auckland
AKM, AKM, Zakuoma Airport, ZaKouma--SA--TD, null, Africa/Ndjamena
AKN, PAKN, King Salmon Airport, King Salmon--AK--US, null, America/Anchorage
AKO, KAKO, Colorado Plains Regional Airport, Akron--CO--US, null, America/Denver
AKP, PAKP, Anaktuvuk Pass Airport, Anaktuvuk Pass--AK--US, null, America/Anchorage
