AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
XNU, DFON, Nouna Airport, Nouna--KOS--BF, null, Africa/Ouagadougou
XPA, DFEP, Pama Airport, Pama--KMP--BF, null, Africa/Ouagadougou
XPK, CZFG, Pukatawagan Airport, Pukatawagan--MB--CA, null, America/Winnipeg
XPL, MHSC, Coronel Enrique Soto Cano Air Base, Comayagua--CM--HN, null, America/Tegucigalpa
XPP, CZNG, Poplar River Airport, Poplar River--MB--CA, null, America/Winnipeg
XPR, KIEN, Pine Ridge Airport, Pine Ridge--SD--US, null, America/Denver
XQP, MRQP, Quepos Managua Airport, Quepos--P--CR, null, America/Costa_Rica
XQU, CAT4, Qualicum Beach Airport, Qualicum Beach--BC--CA, null, America/Vancouver
XRH, YSRI, RAAF Base Richmond, Richmond--NSW--AU, null, Australia/Sydney
XRQ, XRQ, Xinbarag Youqi Baogede Airport, New Barag Right Banner--15--CN, null, Asia/Shanghai
XRR, CYDM, Ross River Airport, Ross River--YT--CA, null, America/Whitehorse
XRY, LEJR, Jerez Airport, Jerez de la Forntera--AN--ES, null, Europe/Madrid
XSB, OMBY, Sir Bani Yas Airport, --AZ--AE, null, Asia/Dubai
XSC, MBSC, South Caicos Airport, --SC--TC, null, America/Grand_Turk
XSD, KTNX, Tonopah Test Range Airport, Tonopah--NV--US, null, America/Los_Angeles
XSE, DFES, Sebba Airport, Sebba--SEN--BF, null, Africa/Ouagadougou
XSI, CZSN, South Indian Lake Airport, South Indian Lake--MB--CA, null, America/Winnipeg
XSO, PRNO, Siocon Airport, --ZAN--PH, null, Asia/Manila
XSP, WSSL, Seletar Airport, Seletar--02--SG, null, Asia/Singapore
XTG, YTGM, Thargomindah Airport, --QLD--AU, null, Australia/Brisbane
XTL, CYBQ, Tadoule Lake Airport, Tadoule Lake--MB--CA, null, America/Winnipeg
XTO, YTAM, Taroom Airport, --QLD--AU, null, Australia/Brisbane
XTR, YTAA, Tara Airport, --QLD--AU, null, Australia/Brisbane
XUZ, ZSXZ, Xuzhou Guanyin Airport, Xuzhou--32--CN, null, Asia/Shanghai
XVL, XVL, Vinh Long Airfield, Vinh Long--49--VN, null, Asia/Ho_Chi_Minh
XYA, AGGY, Yandina Airport, Yandina--CE--SB, null, Pacific/Guadalcanal
XYE, VYYE, Ye Airport, Ye--15--MM, null, Asia/Yangon
XYR, AYED, Edwaki Airport, Yellow River Mission--SAN--PG, null, Pacific/Port_Moresby
XZA, DFEZ, Zabré Airport, Zabré--BLG--BF, null, Africa/Ouagadougou
YAA, CAJ4, Anahim Lake Airport, Anahim Lake--BC--CA, null, America/Vancouver
YAB, CYAB, Arctic Bay Airport, Arctic Bay--NU--CA, null, America/Rankin_Inlet
YAC, CYAC, Cat Lake Airport, Cat Lake--ON--CA, null, America/Winnipeg
YAD, CA-0241, Moose Lake Airport, --MB--CA, null, America/Winnipeg
YAG, CYAG, Fort Frances Municipal Airport, Fort Frances--ON--CA, null, America/Winnipeg
YAH, CYAH, La Grande-4 Airport, La Grande-4--QC--CA, null, America/Toronto
YAI, SCCH, Gral. Bernardo O´Higgins Airport, Chillan--BI--CL, null, America/Santiago
YAJ, YAJ, Lyall Harbour Seaplane Base, Saturna Island--BC--CA, null, America/Vancouver
YAK, PAYA, Yakutat Airport, Yakutat--AK--US, null, America/Yakutat
YAL, CYAL, Alert Bay Airport, Alert Bay--BC--CA, null, America/Vancouver
YAM, CYAM, Sault Ste Marie Airport, Sault Ste Marie--ON--CA, null, America/Toronto
YAN, FZIR, Yangambi Airport, Yangambi--OR--CD, null, Africa/Lubumbashi
YAO, FKKY, Yaoundé Airport, Yaoundé--CE--CM, null, Africa/Douala
YAP, PTYA, Yap International Airport, Yap Island--YAP--FM, null, Pacific/Chuuk
YAQ, YAQ, Maple Bay Seaplane Base, Maple Bay--BC--CA, null, America/Vancouver
YAR, CYAD, La Grande-3 Airport, La Grande-3--QC--CA, null, America/Toronto
YAS, NFSW, Yasawa Island Airport, Yasawa Island--W--FJ, null, Pacific/Fiji
YAT, CYAT, Attawapiskat Airport, Attawapiskat--ON--CA, null, America/Toronto
YAU, CTP9, Donaldson Airport, Kattiniq--QC--CA, null, America/Toronto
YAV, CAW7, Mayne Island Seaplane Base, Miners Bay--BC--CA, null, America/Vancouver
YAX, CKB6, Wapekeka Airport, Angling Lake--ON--CA, null, America/Winnipeg
YAY, CYAY, St. Anthony Airport, St. Anthony--NL--CA, null, America/St_Johns
YAZ, CYAZ, Tofino / Long Beach Airport, Tofino--BC--CA, null, America/Vancouver
YBA, CYBA, Banff Airport, Banff--AB--CA, null, America/Edmonton
YBB, CYBB, Kugaaruk Airport, Kugaaruk--NU--CA, null, America/Cambridge_Bay
YBC, CYBC, Baie Comeau Airport, Baie-Comeau--QC--CA, null, America/Toronto
YBE, CYBE, Uranium City Airport, Uranium City--SK--CA, null, America/Regina
YBF, CAE9, Bamfield Seaplane Base, Bamfield--BC--CA, null, America/Vancouver
YBG, CYBG, CFB Bagotville, Bagotville--QC--CA, null, America/Toronto
YBH, YBH, Bull Harbour Water Aerodrome, Bull Harbour--BC--CA, null, America/Vancouver
YBI, CCE4, Black Tickle Airport, Black Tickle--NL--CA, null, America/St_Johns
YBJ, YBJ, Baie-Johan-Beetz Water Aerodrome, Baie-Johan-Beetz--QC--CA, null, America/Toronto
YBK, CYBK, Baker Lake Airport, Baker Lake--NU--CA, null, America/Rankin_Inlet
YBL, CYBL, Campbell River Airport, Campbell River--BC--CA, null, America/Vancouver
YBO, CBW4, Bob Quinn Lake Airport, Bob Quinn Lake--BC--CA, null, America/Vancouver
YBP, ZUYB, Yibin Caiba Airport, Yibin--51--CN, null, Asia/Shanghai
YBQ, YBQ, Telegraph Harbour Seaplane Base, Thetis Island--BC--CA, null, America/Vancouver
YBR, CYBR, Brandon Municipal Airport, Brandon--MB--CA, null, America/Winnipeg
YBS, CKM8, Opapimiskan Lake Airport, Opapimiskan Lake--ON--CA, null, America/Winnipeg
YBT, CYBT, Brochet Airport, Brochet--MB--CA, null, America/Winnipeg
YBV, CYBV, Berens River Airport, Berens River--MB--CA, null, America/Winnipeg
YBW, CAB3, Bedwell Harbour Seaplane Base, Bedwell Harbour--BC--CA, null, America/Vancouver
YBX, CYBX, Lourdes de Blanc Sablon Airport, Lourdes-De-Blanc-Sablon--QC--CA, null, America/Blanc-Sablon
YBY, CYBF, Bonnyville Airport, Bonnyville--AB--CA, null, America/Edmonton
YCA, CAH3, Courtenay Airpark, Courtenay--BC--CA, null, America/Vancouver
YCB, CYCB, Cambridge Bay Airport, Cambridge Bay--NU--CA, null, America/Cambridge_Bay
YCC, CYCC, Cornwall Regional Airport, Cornwall--ON--CA, null, America/Toronto
YCD, CYCD, Nanaimo Airport, Nanaimo--BC--CA, null, America/Vancouver
YCE, CYCE, Centralia / James T. Field Memorial Aerodrome, Centralia--ON--CA, null, America/Toronto
YCF, YCF, Cortes Bay Water Aerodrome, Cortes Bay--BC--CA, null, America/Vancouver
YCG, CYCG, Castlegar/West Kootenay Regional Airport, Castlegar--BC--CA, null, America/Vancouver
YCH, CYCH, Miramichi Airport, Miramichi--NB--CA, null, America/Moncton
YCK, CYVL, Tommy Kochon Airport, Colville Lake--NT--CA, null, America/Yellowknife
YCL, CYCL, Charlo Airport, Charlo--NB--CA, null, America/Moncton
YCM, CYSN, Niagara District Airport, St Catharines--ON--CA, null, America/Toronto
YCN, CYCN, Cochrane Airport, Cochrane--ON--CA, null, America/Toronto
YCO, CYCO, Kugluktuk Airport, Kugluktuk--NU--CA, null, America/Cambridge_Bay
YCQ, CYCQ, Chetwynd Airport, Chetwynd--BC--CA, null, America/Dawson_Creek
YCR, CYCR, Cross Lake (Charlie Sinclair Memorial) Airport, Cross Lake--MB--CA, null, America/Winnipeg
YCS, CYCS, Chesterfield Inlet Airport, Chesterfield Inlet--NU--CA, null, America/Rankin_Inlet
YCT, CYCT, Coronation Airport, Coronation--AB--CA, null, America/Edmonton
YCU, ZBYC, Yuncheng Guangong Airport, Yuncheng--61--CN, null, Asia/Shanghai
YCW, CYCW, Chilliwack Airport, Chilliwack--BC--CA, null, America/Vancouver
YCY, CYCY, Clyde River Airport, Clyde River--NU--CA, null, America/Iqaluit
YCZ, CYCZ, Fairmont Hot Springs Airport, Fairmont Hot Springs--BC--CA, null, America/Edmonton
YDA, CYDA, Dawson City Airport, Dawson City--YT--CA, null, America/Whitehorse
YDB, CYDB, Burwash Airport, Burwash--YT--CA, null, America/Whitehorse
YDC, CER3, Drayton Valley Industrial Airport, Drayton Valley--AB--CA, null, America/Edmonton
YDE, CA-0274, Paradise River Airport, --NL--CA, null, America/St_Johns
YDF, CYDF, Deer Lake Airport, Deer Lake--NL--CA, null, America/St_Johns
YDG, CYID, Digby / Annapolis Regional Airport, Digby--NS--CA, null, America/Halifax
YDJ, CJL2, Hatchet Lake Airport, Hatchet Lake--SK--CA, null, America/Regina
YDL, CYDL, Dease Lake Airport, Dease Lake--BC--CA, null, America/Vancouver
YDN, CYDN, Dauphin Barker Airport, Dauphin--MB--CA, null, America/Winnipeg
YDO, CYDO, Dolbeau St Felicien Airport, Dolbeau-St-Félicien--QC--CA, null, America/Toronto
YDP, CYDP, Nain Airport, Nain--NL--CA, null, America/Goose_Bay
YDQ, CYDQ, Dawson Creek Airport, Dawson Creek--BC--CA, null, America/Dawson_Creek
YDT, CZBB, Boundary Bay Airport, Vancouver--BC--CA, null, America/Vancouver
YDU, CJL8, Kasba Lake Airport, Kasba Lake--NT--CA, null, America/Yellowknife
YDV, CZTA, Bloodvein River Airport, Bloodvein River--MB--CA, null, America/Winnipeg
YDW, CKV4, North of Sixty Airport, Obre Lake--NT--CA, null, America/Yellowknife
YEB, CPF2, Bar River Airport, Bar River--ON--CA, null, America/Toronto
YEC, RKTY, Yecheon Airbase, Yecheon-ri--47--KR, null, Asia/Seoul
YEG, CYEG, Edmonton International Airport, Edmonton--AB--CA, null, America/Edmonton
YEH, OIBI, Asaloyeh Airport, Asaloyeh--06--IR, null, Asia/Shanghai
YEI, LTBR, Bursa Yenişehir Airport, Bursa--16--TR, null, Europe/Istanbul
YEK, CYEK, Arviat Airport, Arviat--NU--CA, null, America/Rankin_Inlet
YEL, CYEL, Elliot Lake Municipal Airport, Elliot Lake--ON--CA, null, America/Toronto
YEM, CYEM, Manitoulin East Municipal Airport, Manitowaning--ON--CA, null, America/Toronto
YEN, CYEN, Estevan Airport, Estevan--SK--CA, null, America/Regina
YEO, EGDY, RNAS Yeovilton, Yeovil--ENG--GB, null, Europe/London
YEQ, YEQ, Yenkis(Yankisa) Airport, --EPW--PG, null, Pacific/Port_Moresby
YER, CYER, Fort Severn Airport, Fort Severn--ON--CA, null, America/Toronto
YES, OISY, Yasouj Airport, Yasouj--18--IR, null, Asia/Tehran
YET, CYET, Edson Airport, Edson--AB--CA, null, America/Edmonton
YEU, CYEU, Eureka Airport, Eureka--NU--CA, null, America/Rankin_Inlet
YEV, CYEV, Inuvik Mike Zubko Airport, Inuvik--NT--CA, null, America/Inuvik
YEY, CYEY, Amos/Magny Airport, Amos--QC--CA, null, America/Toronto
YFA, CYFA, Fort Albany Airport, Fort Albany--ON--CA, null, America/Toronto
YFB, CYFB, Iqaluit Airport, Iqaluit--NU--CA, null, America/Iqaluit
YFC, CYFC, Fredericton Airport, Fredericton--NB--CA, null, America/Moncton
YFE, CYFE, Forestville Airport, Forestville--QC--CA, null, America/Toronto
YFG, CTU2, Fontanges Airport, Fontanges--QC--CA, null, America/Toronto
YFH, CYFH, Fort Hope Airport, Fort Hope--ON--CA, null, America/Toronto
YFI, CFG6, Fort Mackay / Firebag, Suncor Energy Site--AB--CA, null, America/Edmonton
YFJ, CFJ2, Wekweètì Airport, Wekweètì--NT--CA, null, America/Yellowknife
YFL, CJN8, Fort Reliance Seaplane Base, Fort Reliance--NT--CA, null, America/Yellowknife
YFO, CYFO, Flin Flon Airport, Flin Flon--MB--CA, null, America/Winnipeg
YFR, CYFR, Fort Resolution Airport, Fort Resolution--NT--CA, null, America/Yellowknife
YFS, CYFS, Fort Simpson Airport, Fort Simpson--NT--CA, null, America/Yellowknife
YFX, CCK4, St. Lewis (Fox Harbour) Airport, St. Lewis--NL--CA, null, America/St_Johns
YGB, CYGB, Texada Gillies Bay Airport, Texada--BC--CA, null, America/Vancouver
YGC, CEQ5, Grande Cache Airport, Grande Cache--AB--CA, null, America/Vancouver
YGE, YGE, Gorge Harbour Seaplane Base, Gorge Harbour--BC--CA, null, America/Vancouver
YGG, CAX6, Ganges Seaplane Base, Salt Spring Island--BC--CA, null, America/Vancouver
YGH, CYGH, Fort Good Hope Airport, Fort Good Hope--NT--CA, null, America/Yellowknife
YGJ, RJOH, Miho Yonago Airport, Yonago--32--JP, null, Asia/Tokyo
YGK, CYGK, Kingston Norman Rogers Airport, Kingston--ON--CA, null, America/Toronto
YGL, CYGL, La Grande Rivière Airport, La Grande Rivière--QC--CA, null, America/Toronto
YGM, CYGM, Gimli Industrial Park Airport, Gimli--MB--CA, null, America/Winnipeg
YGN, YGN, Greenway Sound Seaplane Base, Broughton Island--BC--CA, null, America/Vancouver
YGO, CYGO, Gods Lake Narrows Airport, Gods Lake Narrows--MB--CA, null, America/Winnipeg
YGP, CYGP, Gaspé (Michel-Pouliot) Airport, Gaspé--QC--CA, null, America/Toronto
YGQ, CYGQ, Geraldton Greenstone Regional Airport, Geraldton--ON--CA, null, America/Toronto
YGR, CYGR, Îles-de-la-Madeleine Airport, Îles-de-la-Madeleine--QC--CA, null, America/Halifax
YGT, CYGT, Igloolik Airport, Igloolik--NU--CA, null, America/Iqaluit
YGV, CYGV, Havre St Pierre Airport, Havre St-Pierre--QC--CA, null, America/Toronto
YGW, CYGW, Kuujjuarapik Airport, Kuujjuarapik--QC--CA, null, America/Toronto
YGX, CYGX, Gillam Airport, Gillam--MB--CA, null, America/Winnipeg
YGZ, CYGZ, Grise Fiord Airport, Grise Fiord--NU--CA, null, America/Iqaluit
YHA, CCP4, Port Hope Simpson Airport, Port Hope Simpson--NL--CA, null, America/St_Johns
YHB, CYHB, Hudson Bay Airport, Hudson Bay--SK--CA, null, America/Regina
YHD, CYHD, Dryden Regional Airport, Dryden--ON--CA, null, America/Winnipeg
YHE, CYHE, Hope Airport, Hope--BC--CA, null, America/Vancouver
YHF, CYHF, Hearst René Fontaine Municipal Airport, Hearst--ON--CA, null, America/Toronto
YHH, CAE3, Campbell River Seaplane Base, Campbell River--BC--CA, null, America/Vancouver
YHI, CYHI, Ulukhaktok Holman Airport, Ulukhaktok--NT--CA, null, America/Yellowknife
YHK, CYHK, Gjoa Haven Airport, Gjoa Haven--NU--CA, null, America/Cambridge_Bay
YHM, CYHM, John C. Munro Hamilton International Airport, Hamilton--ON--CA, null, America/Toronto
YHN, CYHN, Hornepayne Municipal Airport, Hornepayne--ON--CA, null, America/Toronto
YHO, CYHO, Hopedale Airport, Hopedale--NL--CA, null, America/Goose_Bay
YHP, CPV7, Poplar Hill Airport, Poplar Hill--ON--CA, null, America/Winnipeg
YHR, CYHR, Chevery Airport, Chevery--QC--CA, null, America/Blanc-Sablon
YHS, CAP3, Sechelt-Gibsons Airport, Sechelt--BC--CA, null, America/Vancouver
YHT, CYHT, Haines Junction Airport, Haines Junction--YT--CA, null, America/Whitehorse
YHU, CYHU, Montréal / Saint-Hubert Airport, Montréal--QC--CA, null, America/Toronto
YHY, CYHY, Hay River / Merlyn Carter Airport, Hay River--NT--CA, null, America/Yellowknife
YHZ, CYHZ, Halifax / Stanfield International Airport, Halifax--NS--CA, null, America/Halifax
YIA, WAHI, Yogyakarta International Airport, Yogyakarta--YO--ID, null, Asia/Jakarta
YIB, CYIB, Atikokan Municipal Airport, Atikokan--ON--CA, null, America/Atikokan
YIC, ZSYC, Yichun Mingyueshan Airport, Yichun--36--CN, null, Asia/Shanghai
YIE, ZBES, Arxan Yi'ershi Airport, Arxan--15--CN, null, Asia/Shanghai
YIF, CYIF, St Augustin Airport, St-Augustin--QC--CA, null, America/Blanc-Sablon
YIG, CAF6, Big Bay Seaplane Base, Stuart Island--BC--CA, null, America/Vancouver
YIH, ZHYC, Yichang Sanxia Airport, Yichang--42--CN, null, Asia/Shanghai
YIK, CYIK, Ivujivik Airport, Ivujivik--QC--CA, null, America/Toronto
YIN, ZWYN, Yining Airport, Yining--65--CN, null, Asia/Shanghai
YIO, CYIO, Pond Inlet Airport, Pond Inlet--NU--CA, null, America/Iqaluit
YIP, KYIP, Willow Run Airport, Detroit--MI--US, null, America/Detroit
YIV, CYIV, Island Lake Airport, Island Lake--MB--CA, null, America/Winnipeg
YIW, ZSYW, Yiwu Airport, Yiwu--33--CN, null, Asia/Shanghai
YJA, CYJA, Jasper Airport, Jasper--AB--CA, null, America/Edmonton
YJF, CYJF, Fort Liard Airport, Fort Liard--NT--CA, null, America/Yellowknife
YJN, CYJN, St Jean Airport, St Jean--QC--CA, null, America/Toronto
YJP, CEC4, Hinton/Jasper-Hinton Airport, Hinton--AB--CA, null, America/Edmonton
YJS, KP-0029, Samjiyŏn Airport, Samjiyŏn--10--KP, null, Asia/Pyongyang
YJT, CYJT, Stephenville Airport, Stephenville--NL--CA, null, America/St_Johns
YKA, CYKA, Kamloops Airport, Kamloops--BC--CA, null, America/Vancouver
YKC, CYKC, Collins Bay Airport, Collins Bay--SK--CA, null, America/Regina
YKD, CYKM, Kincardine Municipal Airport, Kincardine--ON--CA, null, America/Toronto
YKE, CJT3, Knee Lake Airport, Knee Lake--MB--CA, null, America/Winnipeg
YKF, CYKF, Waterloo Airport, Kitchener--ON--CA, null, America/Toronto
YKG, CYAS, Kangirsuk Airport, Kangirsuk--QC--CA, null, America/Toronto
YKH, ZYYK, Yingkou Lanqi Airport, Yingkou--21--CN, null, Asia/Shanghai
YKJ, CYKJ, Key Lake Airport, Key Lake--SK--CA, null, America/Regina
YKK, CAP7, Kitkatla Seaplane Base, Kitkatla--BC--CA, null, America/Vancouver
YKL, CYKL, Schefferville Airport, Schefferville--QC--CA, null, America/Toronto
YKM, KYKM, Yakima Air Terminal McAllister Field, Yakima--WA--US, null, America/Los_Angeles
YKN, KYKN, Chan Gurney Municipal Airport, Yankton--SD--US, null, America/Chicago
YKO, LTCW, Hakkari Yüksekova Airport, Hakkari--30--TR, null, Europe/Istanbul
YKQ, CYKQ, Waskaganish Airport, Waskaganish--QC--CA, null, America/Toronto
YKS, UEEE, Yakutsk Airport, Yakutsk--SA--RU, null, Asia/Yakutsk
YKT, YKT, Klemtu Water Aerodrome, Klemtu--BC--CA, null, America/Vancouver
YKU, CSU2, Chisasibi Airport, Chisasibi--QC--CA, null, America/Toronto
YKX, CYKX, Kirkland Lake Airport, Kirkland Lake--ON--CA, null, America/Toronto
YKY, CYKY, Kindersley Airport, Kindersley--SK--CA, null, America/Regina
YKZ, CYKZ, Buttonville Municipal Airport, Toronto--ON--CA, null, America/Toronto
YLB, CYLB, Lac La Biche Airport, Lac La Biche--AB--CA, null, America/Edmonton
YLC, CYLC, Kimmirut Airport, Kimmirut--NU--CA, null, America/Iqaluit
YLD, CYLD, Chapleau Airport, Chapleau--ON--CA, null, America/Toronto
YLE, CEM3, Whatì Airport, Whatì--NT--CA, null, America/Yellowknife
YLG, YYAL, Yalgoo Airport, Yalgoo--WA--AU, null, Australia/Perth
YLH, CYLH, Lansdowne House Airport, Lansdowne House--ON--CA, null, America/Toronto
YLI, EFYL, Ylivieska Airfield, --OL--FI, null, Europe/Helsinki
YLJ, CYLJ, Meadow Lake Airport, Meadow Lake--SK--CA, null, America/Regina
YLK, CYLS, Barrie-Orillia (Lake Simcoe Regional Airport), Barrie-Orillia--ON--CA, null, America/Toronto
YLL, CYLL, Lloydminster Airport, Lloydminster--AB--CA, null, America/Edmonton
YLM, CA-0095, Clinton Creek Airport, Clinton Creek Mine--YT--CA, null, America/Whitehorse
YLP, YLP, Mingan Airport, Mingan--QC--CA, null, America/Toronto
YLQ, CYLQ, La Tuque Airport, La Tuque--QC--CA, null, America/Toronto
YLR, CYLR, Leaf Rapids Airport, Leaf Rapids--MB--CA, null, America/Winnipeg
YLS, CSH4, Lebel-sur-Quevillon Airport, Lebel-sur-Quévillon--QC--CA, null, America/Toronto
YLT, CYLT, Alert Airport, Alert--NU--CA, null, America/Pangnirtung
YLV, UBEE, Yevlakh Airport, Yevlakh--YE--AZ, null, Asia/Baku
YLW, CYLW, Kelowna International Airport, Kelowna--BC--CA, null, America/Vancouver
YLY, CYNJ, Langley Airport, Langley--BC--CA, null, America/Vancouver
YMA, CYMA, Mayo Airport, Mayo--YT--CA, null, America/Whitehorse
YMB, CAD5, Merritt Airport, Merritt--BC--CA, null, America/Vancouver
YMD, CA-0245, Mould Bay Airport, Prince Patrick Is.--NT--CA, null, America/Yellowknife
YME, CYME, Matane Airport, Matane--QC--CA, null, America/Toronto
YMG, CYMG, Manitouwadge Airport, Manitouwadge--ON--CA, null, America/Toronto
YMH, CYMH, Mary's Harbour Airport, Mary's Harbour--NL--CA, null, America/St_Johns
YMJ, CYMJ, Moose Jaw Air Vice Marshal C. M. McEwen Airport, Moose Jaw--SK--CA, null, America/Regina
YMK, USDK, Mys Kamenny Airport, Mys Kamennyi--YAN--RU, null, Asia/Yekaterinburg
YML, CYML, Charlevoix Airport, Charlevoix--QC--CA, null, America/Toronto
YMM, CYMM, Fort McMurray Airport, Fort McMurray--AB--CA, null, America/Edmonton
YMN, CYFT, Makkovik Airport, Makkovik--NL--CA, null, America/Goose_Bay
YMO, CYMO, Moosonee Airport, Moosonee--ON--CA, null, America/Toronto
YMP, CAT5, Port Mcneill Airport, Port Mcneill--BC--CA, null, America/Vancouver
YMS, SPMS, Moises Benzaquen Rengifo Airport, Yurimaguas--LOR--PE, null, America/Lima
YMT, CYMT, Chapais Airport, Chibougamau--QC--CA, null, America/Toronto
YMU, CAV7, Mansons Landing Seaplane Base, --BC--CA, null, America/Vancouver
YMV, CA-0504, Mary River Aerodrome, --NU--CA, null, America/Iqaluit
YMW, CYMW, Maniwaki Airport, Maniwaki--QC--CA, null, America/Toronto
YMX, CYMX, Montreal International (Mirabel) Airport, Montréal--QC--CA, null, America/Toronto
YNA, CYNA, Natashquan Airport, Natashquan--QC--CA, null, America/Toronto
YNB, OEYN, Prince Abdulmohsin Bin Abdulaziz Airport, Yanbu--03--SA, null, Asia/Riyadh
YNC, CYNC, Wemindji Airport, Wemindji--QC--CA, null, America/Toronto
YND, CYND, Ottawa / Gatineau Airport, Gatineau--QC--CA, null, America/Toronto
YNE, CYNE, Norway House Airport, Norway House--MB--CA, null, America/Winnipeg
YNG, KYNG, Youngstown Warren Regional Airport, Youngstown/Warren--OH--US, null, America/New_York
YNH, CYNH, Hudsons Hope Airport, Hudson's Hope--BC--CA, null, America/Dawson_Creek
YNJ, ZYYJ, Yanji Chaoyangchuan Airport, Yanji--22--CN, null, Asia/Shanghai
YNL, CYNL, Points North Landing Airport, Points North Landing--SK--CA, null, America/Regina
YNM, CYNM, Matagami Airport, Matagami--QC--CA, null, America/Toronto
YNO, CKQ3, North Spirit Lake Airport, North Spirit Lake--ON--CA, null, America/Winnipeg
YNP, CNH2, Natuashish Airport, Natuashish--NL--CA, null, America/Goose_Bay
YNS, CYHH, Nemiscau Airport, Nemiscau--QC--CA, null, America/Toronto
YNT, YNT, Yantai Penglai International Airport, Yantai--37--CN, null, Asia/Shanghai
YNX, CSK6, Snap Lake Airport, Snap Lake Mine--NT--CA, null, America/Yellowknife
YNY, RKNY, Yangyang International Airport, Gonghang-ro--42--KR, null, Asia/Seoul
YNZ, ZSYN, Yancheng Airport, Yancheng--32--CN, null, Asia/Shanghai
YOA, CYOA, Ekati Airport, Ekati--NT--CA, null, America/Yellowknife
YOC, CYOC, Old Crow Airport, Old Crow--YT--CA, null, America/Whitehorse
YOD, CYOD, CFB Cold Lake, Cold Lake--AB--CA, null, America/Edmonton
YOE, CFM4, Donnelly Airport, Donnelly--AB--CA, null, America/Edmonton
YOG, CNT3, Ogoki Post Airport, Ogoki Post--ON--CA, null, America/Toronto
YOH, CYOH, Oxford House Airport, Oxford House--MB--CA, null, America/Winnipeg
YOI, YOI, Opinaca Aerodrome, Éléonore Mine--QC--CA, null, America/Toronto
YOJ, CYOJ, High Level Airport, High Level--AB--CA, null, America/Edmonton
YOL, DNYO, Yola Airport, Yola--AD--NG, null, Africa/Lagos
YON, VQ10, Yongphulla Airport, Tashigang--41--BT, null, Asia/Thimphu
YOO, CYOO, Toronto/Oshawa Executive Airport, Oshawa--ON--CA, null, America/Toronto
YOP, CYOP, Rainbow Lake Airport, Rainbow Lake--AB--CA, null, America/Edmonton
YOS, CYOS, Owen Sound / Billy Bishop Regional Airport, Owen Sound--ON--CA, null, America/Toronto
YOT, LLYO, Yotvata Airfield, Yotvata--D--IL, null, Asia/Jerusalem
YOW, CYOW, Ottawa Macdonald-Cartier International Airport, Ottawa--ON--CA, null, America/Toronto
YPA, CYPA, Prince Albert Glass Field, Prince Albert--SK--CA, null, America/Regina
YPB, CBS8, Alberni Valley Regional Airport, Port Alberni--BC--CA, null, America/Vancouver
YPC, CYPC, Paulatuk (Nora Aliqatchialuk Ruben) Airport, Paulatuk--NT--CA, null, America/Yellowknife
YPD, CNK4, Parry Sound Area Municipal Airport, Parry Sound--ON--CA, null, America/Toronto
YPE, CYPE, Peace River Airport, Peace River--AB--CA, null, America/Edmonton
YPG, CYPG, Southport Airport, Portage la Prairie--MB--CA, null, America/Winnipeg
YPH, CYPH, Inukjuak Airport, Inukjuak--QC--CA, null, America/Toronto
YPI, CAN8, Port Simpson Seaplane Base, Lax Kw'alaams--BC--CA, null, America/Vancouver
YPJ, CYLA, Aupaluk Airport, Aupaluk--QC--CA, null, America/Toronto
YPL, CYPL, Pickle Lake Airport, Pickle Lake--ON--CA, null, America/Toronto
YPM, CYPM, Pikangikum Airport, Pikangikum--ON--CA, null, America/Winnipeg
YPN, CYPN, Port Menier Airport, Port-Menier--QC--CA, null, America/Toronto
YPO, CYPO, Peawanuck Airport, Peawanuck--ON--CA, null, America/Toronto
YPQ, CYPQ, Peterborough Airport, Peterborough--ON--CA, null, America/Toronto
YPR, CYPR, Prince Rupert Airport, Prince Rupert--BC--CA, null, America/Vancouver
YPS, CYPD, Port Hawkesbury Airport, Port Hawkesbury--NS--CA, null, America/Halifax
YPT, CAG8, Pender Harbour Seaplane Base, --BC--CA, null, America/Vancouver
YPW, CYPW, Powell River Airport, Powell River--BC--CA, null, America/Vancouver
YPX, CYPX, Puvirnituq Airport, Puvirnituq--QC--CA, null, America/Toronto
YPY, CYPY, Fort Chipewyan Airport, Fort Chipewyan--AB--CA, null, America/Edmonton
YPZ, CYPZ, Burns Lake Airport, Burns Lake--BC--CA, null, America/Vancouver
YQA, CYQA, Muskoka Airport, Muskoka--ON--CA, null, America/Toronto
YQB, CYQB, Quebec Jean Lesage International Airport, Quebec--QC--CA, null, America/Toronto
YQC, CYHA, Quaqtaq Airport, Quaqtaq--QC--CA, null, America/Toronto
YQD, CYQD, The Pas Airport, The Pas--MB--CA, null, America/Winnipeg
YQF, CYQF, Red Deer Regional Airport, Red Deer--AB--CA, null, America/Edmonton
YQG, CYQG, Windsor Airport, Windsor--ON--CA, null, America/Toronto
YQH, CYQH, Watson Lake Airport, Watson Lake--YT--CA, null, America/Whitehorse
YQI, CYQI, Yarmouth Airport, Yarmouth--NS--CA, null, America/Halifax
YQJ, YQJ, April Point Seaplane Base, Quadra Island--BC--CA, null, America/Vancouver
YQK, CYQK, Kenora Airport, Kenora--ON--CA, null, America/Winnipeg
YQL, CYQL, Lethbridge County Airport, Lethbridge--AB--CA, null, America/Edmonton
YQM, CYQM, Greater Moncton International Airport, Moncton--NB--CA, null, America/Moncton
